Gene	Type
2447	TSC22D3	Down
2448	ENPP2	Down
2449	IQCA1	Down
2450	ARMC4	Down
2451	ZBBX	Down
2452	C5orf49	Down
2453	AIF1	Down
2454	SPNS2	Down
2455	HIF3A	Down
2456	ALDH3B1	Down
2457	ID1	Down
2458	RASL11A	Down
2459	RBP7	Down
2460	MAOA	Down
2461	SCARA3	Down
2462	FCER1A	Down
2463	LRRN4	Down
2464	NTM	Down
2465	KCNA3	Down
2466	GSTA4	Down
2467	TGM2	Down
2468	IRX2	Down
2469	UNC13B	Down
2470	FSTL3	Down
2471	PTPN13	Down
2472	TMEM35A	Down
2473	CFAP43	Down
2474	CPVL	Down
2475	CEBPA	Down
2476	BMP5	Down
2477	NUPR1	Down
2478	FYB2	Down
2479	CTSW	Down
2480	FGF18	Down
2481	EDNRA	Down
2482	TMEM125	Down
2483	NINJ2	Down
2484	PTPRC	Down
2485	RSPH1	Down
2486	IRAK3	Down
2487	MPEG1	Down
2488	VNN2	Down
2489	S100A8	Down
2490	RASSF9	Down
2491	TTC25	Down
2492	PGC	Down
2493	DNAAF1	Down
2494	CHST9	Down
2495	RRAD	Down
2496	SPAG6	Down
2497	ITGAM	Down
2498	C4BPA	Down
2499	CACNG4	Down
2500	FAM183A	Down
2501	RHOBTB2	Down
2502	LDLRAD1	Down
2503	ENKUR	Down
2504	CNTN1	Down
2505	SCGB3A2	Down
2506	GAS2L2	Down
2507	ATP8A1	Down
2508	PLPPR3	Down
2509	TEKT2	Down
2510	MAB21L4	Down
2511	HMGCS2	Down
2512	BEX1	Down
2513	KLK10	Down
2514	CFAP53	Down
2515	VTN	Down
2516	BMP6	Down
2517	RNASE1	Down
2518	TREM1	Down
2519	JPH1	Down
2520	CX3CL1	Down
2521	GALNT5	Down
2522	CD74	Down
2523	SCGB3A1	Down
2524	BAALC	Down
2525	FOLR1	Down
2526	SCNN1B	Down
2527	DAW1	Down
2528	CD274	Down
2529	PHYHD1	Down
2530	RNF128	Down
2531	STMND1	Down
2532	CCL2	Down
2533	PRDM16	Down
2534	PLCB4	Down
2535	KDR	Down
2536	SPON1	Down
2537	PLAAT5	Down
2538	MUC15	Down
2539	SLC47A1	Down
2540	OLFM1	Down
2541	SEMA3E	Down
2542	CAPN9	Down
2543	SFTPB	Down
2544	ROS1	Down
2545	LTBP2	Down
2546	TRPC6	Down
2547	CCDC17	Down
2548	PIFO	Down
2549	TMEM213	Down
2550	PPP1R14C	Down
2551	LRRC10B	Down
2552	KNDC1	Down
2553	SLC22A3	Down
2554	NR0B2	Down
2555	ALOX15B	Down
2556	TMPRSS2	Down
2557	LRP2	Down
2558	GZMH	Down
2559	FOXA2	Down
2560	CPM	Down
2561	FAM81B	Down
2562	SULT2B1	Down
2563	KLK11	Down
2564	ANPEP	Down
2565	HLA-DQB1	Down
2566	ELF5	Down
2567	SLC6A20	Down
2568	EDIL3	Down
2569	ICAM1	Down
2570	C1orf116	Down
2571	HPGD	Down
2572	KCNQ1	Down
2573	CCL21	Down
2574	SLC34A2	Down
2575	SDR16C5	Down
2576	CHIA	Down
2577	STEAP4	Down
2578	ELN	Down
2579	HLA-DQA1	Down
2580	CXCL5	Down
2581	CST6	Down
2582	ANXA1	Down
2583	VGLL1	Down
2584	SLC5A1	Down
2585	CCL18	Down
2586	C16orf89	Down
2587	APOH	Down
2588	CLU	Down
2589	PIGR	Down
2590	MUCL3	Down
2591	SERPINA1	Down
2592	NAPSA	Down
2593	SHISA2	Down
2594	SCTR	Down
2595	GRP	Down
2596	HOPX	Down
2597	AGR3	Down
2598	C9orf135	Down
2599	FXYD3	Down
2600	PEG10	Down
